Week,jay z,samsung galaxy,Sprint,tidal,air force 1,jay z samsung galaxy,jay z sprint,jay z tidal,jay z air force 1
2015-04-26,4,20,25,3,1,0.5,0.5,22,0
2015-05-03,4,20,26,2,1,0,0,13,0
2015-05-10,4,19,26,1,1,0,0,9,0
2015-05-17,5,20,26,6,1,0.5,0,37,0
2015-05-24,3,20,25,2,1,0,0,14,0
2015-05-31,3,19,26,2,1,0,0.5,11,0.5
2015-06-07,3,20,27,2,1,1,0,9,0
2015-06-14,4,21,27,2,1,0,0,7,0.5
2015-06-21,3,21,27,1,1,0,0.5,3,0
2015-06-28,3,19,29,2,1,0,0.5,5,0
2015-07-05,3,19,29,2,1,0.5,0,7,0
2015-07-12,3,19,28,1,1,0.5,0.5,4,0
2015-07-19,4,19,27,1,1,0,0.5,4,0
2015-07-26,4,19,28,1,1,0,0.5,5,0.5
2015-08-02,4,18,27,1,1,0,0,4,0
2015-08-09,4,20,28,1,1,0.5,0,2,0
2015-08-16,3,20,29,1,1,0,0.5,2,0
2015-08-23,3,18,28,1,1,0,0.5,3,0
2015-08-30,4,18,27,1,1,0,0,4,0
2015-09-06,4,18,28,1,1,0,0,4,0
2015-09-13,4,17,27,1,1,0,0,2,0
2015-09-20,5,17,29,1,1,0,0.5,3,0
2015-09-27,3,17,30,1,1,1,0.5,6,0
2015-10-04,3,16,28,1,1,0,0,2,0
2015-10-11,3,17,26,1,1,0,0.5,3,0
2015-10-18,4,17,24,3,1,0,0,13,0
2015-10-25,3,17,24,1,1,0,0,3,0
2015-11-01,3,18,25,1,1,0.5,0.5,2,0
2015-11-08,3,18,23,1,1,0,0,2,0
2015-11-15,3,18,25,1,1,0,0,2,0
2015-11-22,3,24,26,1,1,0.5,0,2,0
2015-11-29,4,21,24,1,1,0,0,4,0
2015-12-06,3,19,22,1,1,0,0,3,0.5
2015-12-13,3,20,24,1,1,0,0,2,0
2015-12-20,3,24,26,1,1,0,0,2,0
2015-12-27,3,21,28,1,1,0,0,3,0
2016-01-03,3,15,22,1,1,0,0,1,0
2016-01-10,3,14,20,1,1,0,0,2,0
2016-01-17,3,14,19,1,1,0.5,0,1,0.5
2016-01-24,3,14,19,2,1,0,0,2,0.5
2016-01-31,3,14,19,2,1,0.5,0.5,1,0
2016-02-07,5,15,20,5,1,1,0,4,0
2016-02-14,4,15,20,12,1,0.5,0.5,9,0
2016-02-21,3,22,20,4,1,0.5,0.5,6,0
2016-02-28,3,19,19,3,1,0,0.5,6,0.5
2016-03-06,3,19,20,2,1,0,0,4,0
2016-03-13,3,18,20,3,1,0.5,0,4,0
2016-03-20,3,17,22,2,1,0,0.5,3,0
2016-03-27,3,16,22,3,1,0,0.5,5,0
2016-04-03,3,15,20,2,1,0,0,4,0
2016-04-10,4,14,20,2,1,0,0.5,2,0
2016-04-17,3,14,19,2,1,0,0,5,0.5
2016-04-24,36,14,19,12,1,0.5,0.5,30,0.5
2016-05-01,8,14,20,3,1,0,0,6,0
2016-05-08,5,14,20,2,1,0,0.5,3,0
2016-05-15,4,14,19,2,1,0.5,0,2,0
2016-05-22,5,14,20,2,1,0,0,5,0
2016-05-29,5,15,20,2,1,0,0,3,0
2016-06-05,4,15,21,2,1,0,0.5,4,0.5
2016-06-12,4,15,21,2,1,0,0.5,2,0
2016-06-19,4,15,21,2,1,0,0.5,2,0
2016-06-26,6,16,22,3,1,0,0,7,0.5
2016-07-03,4,16,22,2,1,0.5,0.5,6,0.5
2016-07-10,4,17,23,1,1,0.5,1,3,0
2016-07-17,4,17,22,1,1,0.5,0.5,3,0
2016-07-24,4,17,23,1,1,0.5,0.5,2,0
2016-07-31,3,18,23,1,1,0,0,3,0
2016-08-07,3,16,23,1,1,0,0,1,0.5
2016-08-14,3,16,24,1,1,0,0,1,0
2016-08-21,3,16,23,1,1,0.5,0,1,0.5
2016-08-28,6,16,23,2,1,0.5,0.5,2,0
2016-09-04,4,17,30,1,1,0,0.5,2,0
2016-09-11,3,18,31,1,1,0.5,0.5,2,0
2016-09-18,3,16,30,1,1,0,0.5,2,0
2016-09-25,3,14,26,1,1,0.5,0.5,2,0
2016-10-02,3,13,25,1,1,0,0,2,0
2016-10-09,3,16,26,1,1,0,0,1,0
2016-10-16,4,14,24,2,1,0,0.5,4,0
2016-10-23,4,13,22,1,1,0,0,2,0.5
2016-10-30,5,12,22,1,1,0,0,2,0.5
2016-11-06,5,12,20,1,2,0,0.5,1,0
2016-11-13,3,13,22,1,1,0,0,1,0
2016-11-20,5,19,25,1,2,0,1,1,0
2016-11-27,3,17,24,1,2,0.5,1,1,0
2016-12-04,4,15,22,1,2,0,0.5,1,0.5
2016-12-11,3,15,22,1,2,0.5,0.5,1,0
2016-12-18,3,17,24,1,2,0,0,1,0
2016-12-25,3,18,25,1,2,0,0,3,0
2017-01-01,3,14,22,1,1,0,0,1,0
2017-01-08,3,13,21,1,1,0,0,1,0
2017-01-15,3,13,20,1,1,0,0.5,1,0.5
2017-01-22,3,13,20,2,1,0,4,11,0.5
2017-01-29,5,12,19,1,1,0,1,4,0.5
2017-02-05,4,11,19,1,2,0,0.5,2,0
2017-02-12,6,12,20,1,2,0,0.5,3,0.5
2017-02-19,4,13,21,1,2,0.5,0.5,2,0.5
2017-02-26,4,14,21,1,1,0,0.5,2,0
2017-03-05,3,13,20,1,1,0,0.5,1,0
2017-03-12,3,13,19,1,1,0,0.5,1,0
2017-03-19,3,13,20,1,1,0,0.5,1,0
2017-03-26,3,23,22,1,1,0,0,1,0
2017-04-02,3,16,20,1,1,0,0.5,1,0
2017-04-09,3,14,20,1,1,0,0.5,3,0
2017-04-16,3,17,20,1,1,0.5,0,1,0.5
2017-04-23,3,15,20,1,1,0,0.5,1,0
2017-04-30,3,13,20,1,1,0,0,1,0
2017-05-07,3,13,19,1,1,0,0.5,3,0
2017-05-14,3,13,19,1,1,0,0.5,2,1
2017-05-21,3,13,19,1,1,0,0,2,0
2017-05-28,3,12,21,1,1,0,0.5,1,0
2017-06-04,3,12,20,1,1,0,0,2,0
2017-06-11,4,12,22,1,1,0,0.5,2,0
2017-06-18,6,14,22,2,1,0,2,5,0
2017-06-25,24,14,24,6,1,0,51,100,1
2017-07-02,22,14,22,4,1,1,18,59,0
2017-07-09,13,13,22,2,1,0.5,3,21,0.5
2017-07-16,8,13,21,1,1,1,1,7,0
2017-07-23,6,13,21,1,1,0,0,4,0
2017-07-30,5,13,22,1,1,0.5,1,4,0
2017-08-06,5,13,21,1,1,1,0.5,3,0
2017-08-13,4,13,20,1,1,0,0.5,5,0
2017-08-20,5,14,20,1,1,1,1,7,0
2017-08-27,4,12,19,1,1,0,1,3,0
2017-09-03,4,11,19,1,1,0.5,1,2,0
2017-09-10,3,14,23,1,1,0,0,2,0
2017-09-17,4,13,22,1,1,0,1,2,0
2017-09-24,3,12,22,1,1,0,1,2,0
2017-10-01,5,11,20,1,1,0.5,0.5,2,0
2017-10-08,3,11,20,1,1,0,0.5,2,0
2017-10-15,3,11,20,1,1,0,0,3,0.5
2017-10-22,3,11,20,1,1,0,0.5,2,0.5
2017-10-29,4,11,21,1,1,0,0.5,2,0
2017-11-05,5,12,21,1,2,0,0,1,0
2017-11-12,5,12,20,1,2,0,0.5,2,0
2017-11-19,4,17,22,1,2,0,0.5,2,0
2017-11-26,7,14,20,1,2,0,1,3,0.5
2017-12-03,6,12,20,1,2,0,0.5,2,1
2017-12-10,4,12,20,1,2,0,0.5,3,0.5
2017-12-17,4,13,21,1,3,0,0.5,3,0
2017-12-24,5,14,22,1,3,0.5,0.5,10,0
2017-12-31,4,11,19,1,2,0,0.5,5,0.5
2018-01-07,3,10,18,1,2,0,0.5,2,0
2018-01-14,3,10,17,1,2,0,0,1,0.5
2018-01-21,3,10,16,1,2,0,0.5,1,0
2018-01-28,10,10,18,1,2,0.5,0.5,3,0
2018-02-04,3,10,17,1,2,0,0.5,1,0
2018-02-11,3,10,16,1,2,0,0.5,1,0
2018-02-18,3,11,18,1,2,0,0.5,1,0
2018-02-25,3,16,19,1,2,0.5,0.5,1,0
2018-03-04,4,12,18,1,2,0,0.5,2,0
2018-03-11,6,12,18,2,2,0,1,4,0
2018-03-18,4,12,17,1,2,0.5,0.5,1,0.5
2018-03-25,3,11,17,1,2,0.5,0.5,1,0.5
2018-04-01,4,10,17,2,2,0.5,0,1,0
2018-04-08,4,9,16,2,2,0,0,1,0
2018-04-15,4,9,16,1,2,0,0.5,2,0.5
2018-04-22,3,9,16,1,2,0,1,1,0
2018-04-29,3,8,22,1,2,0,0.5,1,0
2018-05-06,3,9,17,1,2,0,0,2,0
2018-05-13,3,9,17,1,2,0,0,2,0
2018-05-20,3,9,17,1,2,0,0.5,1,0
2018-05-27,3,9,17,1,2,0.5,0.5,1,0
2018-06-03,3,9,19,1,2,0,0,1,0
2018-06-10,5,10,20,2,2,0,0.5,6,0.5
2018-06-17,10,10,19,3,2,0,1,18,0
2018-06-24,5,10,19,1,2,0,0,2,0.5
2018-07-01,5,10,18,1,2,0.5,0,2,0
2018-07-08,5,12,19,1,2,0,0,1,0
2018-07-15,4,10,19,1,2,0,0,1,0.5
2018-07-22,4,10,18,1,2,0,0.5,1,0
2018-07-29,5,10,19,1,3,0,1,1,0
2018-08-05,4,12,19,1,4,0,0,2,0.5
2018-08-12,4,11,19,1,3,0,0,1,0
2018-08-19,4,11,18,1,3,0,0.5,1,0
2018-08-26,4,10,18,1,3,0.5,0,1,0
2018-09-02,3,10,18,1,2,0,0,1,1
2018-09-09,3,10,19,1,2,0,0,1,0
2018-09-16,3,10,20,1,2,0,0,0.5,0
2018-09-23,3,10,20,1,2,0.5,0,1,0
2018-09-30,3,9,19,1,2,0,0,1,0
2018-10-07,3,9,18,1,2,0,0,1,0.5
2018-10-14,3,9,18,1,2,0,1,1,0
2018-10-21,2,8,16,1,2,0,0,2,0.5
2018-10-28,2,9,19,1,2,0,0,1,0
2018-11-04,2,9,16,1,3,0.5,0.5,1,0.5
2018-11-11,2,9,17,1,3,0,0.5,1,0
2018-11-18,2,15,20,1,4,0,0,1,0.5
2018-11-25,3,12,18,1,4,0.5,0.5,1,1
2018-12-02,4,10,17,1,4,0,0.5,1,0
2018-12-09,2,10,16,1,4,0,0.5,2,0
2018-12-16,3,10,19,1,5,0,0.5,2,0.5
2018-12-23,3,12,20,1,5,0,0,1,0
2018-12-30,3,10,17,1,3,0,0,1,0
2019-01-06,5,9,16,1,3,0,0.5,1,0.5
2019-01-13,3,8,16,1,3,0,0,1,0.5
2019-01-20,3,8,16,1,3,0,0,2,0
2019-01-27,2,8,15,1,3,0,0,1,0
2019-02-03,3,9,15,1,3,0,0,1,0
2019-02-10,5,11,16,1,4,2,0,2,0
